RxCUI,TTY,Name,Branded Name,Dose Form,USP Category,USP Class,USP Pharmacotherapeutic Group
863847,SBD,ABUSE-DETERRENT MORPHINE SULFATE 100 MG / NALTREXONE HYDROCHLORIDE 4 MG EXTENDED RELEASE ORAL CAPSULE [EMBEDA],EMBEDA,EXTENDED RELEASE ORAL CAPSULE,Analgesics,Analgesic Combination,
863849,SBD,ABUSE-DETERRENT MORPHINE SULFATE 20 MG / NALTREXONE HYDROCHLORIDE 0.8 MG EXTENDED RELEASE ORAL CAPSULE [EMBEDA],EMBEDA,EXTENDED RELEASE ORAL CAPSULE,Analgesics,Analgesic Combination,
863851,SBD,ABUSE-DETERRENT MORPHINE SULFATE 30 MG / NALTREXONE HYDROCHLORIDE 1.2 MG EXTENDED RELEASE ORAL CAPSULE [EMBEDA],EMBEDA,EXTENDED RELEASE ORAL CAPSULE,Analgesics,Analgesic Combination,
863853,SBD,ABUSE-DETERRENT MORPHINE SULFATE 50 MG / NALTREXONE HYDROCHLORIDE 2 MG EXTENDED RELEASE ORAL CAPSULE [EMBEDA],EMBEDA,EXTENDED RELEASE ORAL CAPSULE,Analgesics,Analgesic Combination,
863855,SBD,ABUSE-DETERRENT MORPHINE SULFATE 60 MG / NALTREXONE HYDROCHLORIDE 2.4 MG EXTENDED RELEASE ORAL CAPSULE [EMBEDA],EMBEDA,EXTENDED RELEASE ORAL CAPSULE,Analgesics,Analgesic Combination,
863857,SBD,ABUSE-DETERRENT MORPHINE SULFATE 80 MG / NALTREXONE HYDROCHLORIDE 3.2 MG EXTENDED RELEASE ORAL CAPSULE [EMBEDA],EMBEDA,EXTENDED RELEASE ORAL CAPSULE,Analgesics,Analgesic Combination,
1044427,SCD,ACETAMINOPHEN 20 MG/ML / HYDROCODONE BITARTRATE 0.667 MG/ML ORAL SOLUTION,,ORAL SOLUTION,Analgesics,Analgesic Combination,
1442445,SBD,ACETAMINOPHEN 20 MG/ML / HYDROCODONE BITARTRATE 0.667 MG/ML ORAL SOLUTION [LORTAB],LORTAB,ORAL SOLUTION,Analgesics,Analgesic Combination,
856940,SCD,ACETAMINOPHEN 21.7 MG/ML / HYDROCODONE BITARTRATE 0.5 MG/ML ORAL SOLUTION,,ORAL SOLUTION,Analgesics,Analgesic Combination,
856942,SBD,ACETAMINOPHEN 21.7 MG/ML / HYDROCODONE BITARTRATE 0.5 MG/ML ORAL SOLUTION [HYCET],HYCET,ORAL SOLUTION,Analgesics,Analgesic Combination,
856944,SCD,ACETAMINOPHEN 21.7 MG/ML / HYDROCODONE BITARTRATE 0.67 MG/ML ORAL SOLUTION,,ORAL SOLUTION,Analgesics,Analgesic Combination,
856946,SBD,ACETAMINOPHEN 21.7 MG/ML / HYDROCODONE BITARTRATE 0.67 MG/ML ORAL SOLUTION [ZAMICET],ZAMICET,ORAL SOLUTION,Analgesics,Analgesic Combination,
993755,SCD,ACETAMINOPHEN 24 MG/ML / CODEINE PHOSPHATE 2.4 MG/ML ORAL SOLUTION,,ORAL SOLUTION,Analgesics,Analgesic Combination,
993767,SBD,ACETAMINOPHEN 24 MG/ML / CODEINE PHOSPHATE 2.4 MG/ML ORAL SUSPENSION [CAPITAL AND CODEINE],CAPITAL AND CODEINE,ORAL SUSPENSION,Analgesics,Analgesic Combination,
999729,SCD,ACETAMINOPHEN 250 MG / TRAMADOL HYDROCHLORIDE 50 MG ORAL CAPSULE,,ORAL CAPSULE,Analgesics,Analgesic Combination,
993770,SCD,ACETAMINOPHEN 300 MG / CODEINE PHOSPHATE 15 MG ORAL TABLET,,ORAL TABLET,Analgesics,Analgesic Combination,
